                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                       |  17253053606 |  16938576641 |  16890784778 |  16229185806 |  16476714762 |  16404262493 |  16603715806 |  16330521903
  Cycles                             |  14210221221 |  14210221221 |  14210221221 |  14210221221 |  14210221221 |  14210221221 |  14210221221 |  14210221221
  IPC                                |         1.21 |         1.19 |         1.19 |         1.14 |         1.16 |         1.15 |         1.17 |         1.15
  Time (ns)                          |   4267333700 |   4267333700 |   4267333700 |   4267333700 |   4267333700 |   4267333700 |   4267333700 |   4267333700
  Idle time (ns)                     |    105799294 |    264053296 |    274806005 |    235026504 |     90479379 |    237296263 |    135966881 |     96340209
  Idle time (%)                      |         2.5% |         6.2% |         6.4% |         5.5% |         2.1% |         5.6% |         3.2% |         2.3%
Branch predictor stats               |              |              |              |              |              |              |              |             
  num correct                        |   3100155244 |   3057852717 |   3052220587 |   2884829305 |   2956202262 |   2931332785 |   2991693424 |   2930938456
  num incorrect                      |    122449137 |    119174771 |    116668002 |    122276356 |    123567355 |    118914520 |    121984269 |    122604577
  misprediction rate                 |        3.80% |        3.75% |        3.68% |        4.07% |        4.01% |        3.90% |        3.92% |        4.02%
  mpki                               |         7.10 |         7.04 |         6.91 |         7.53 |         7.50 |         7.25 |         7.35 |         7.51
TLB Summary                          |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   2955609164 |   2905340511 |   2903515367 |   2775979670 |   2822800419 |   2804545031 |   2839953996 |   2791829931
    num misses                       |          164 |           75 |           75 |           66 |           74 |           66 |           74 |           74
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   5811072508 |   5685710366 |   5654071748 |   5496007779 |   5546605411 |   5540078039 |   5586346620 |   5514433275
    num misses                       |     44108888 |     41085020 |     49890966 |     49272303 |     49328243 |     50640566 |     46167151 |     62180993
    miss rate                        |        0.76% |        0.72% |        0.88% |        0.90% |        0.89% |        0.91% |        0.83% |        1.13%
    mpki                             |         2.56 |         2.43 |         2.95 |         3.04 |         2.99 |         3.09 |         2.78 |         3.81
  L2 TLB                             |              |              |              |              |              |              |              |             
    num accesses                     |     44109052 |     41085095 |     49891041 |     49272369 |     49328317 |     50640632 |     46167225 |     62181067
    num misses                       |      5565919 |      4279011 |      5839724 |      7348726 |      8623309 |      7604194 |      7578361 |      9635879
    miss rate                        |       12.62% |       10.41% |       11.70% |       14.91% |       17.48% |       15.02% |       16.42% |       15.50%
    mpki                             |         0.32 |         0.25 |         0.35 |         0.45 |         0.52 |         0.46 |         0.46 |         0.59
Cache Summary                        |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |             
    num cache accesses               |   2955609164 |   2905340511 |   2903515367 |   2775979670 |   2822800419 |   2804545031 |   2839953996 |   2791829931
    num cache misses                 |       517961 |       410978 |       512116 |       624408 |       969436 |       552631 |       557044 |       694749
    miss rate                        |        0.02% |        0.01% |        0.02% |        0.02% |        0.03% |        0.02% |        0.02% |        0.02%
    mpki                             |         0.03 |         0.02 |         0.03 |         0.04 |         0.06 |         0.03 |         0.03 |         0.04
  Cache L1-D                         |              |              |              |              |              |              |              |             
    num cache accesses               |   5811072508 |   5685710366 |   5654071748 |   5496007779 |   5546605411 |   5540078039 |   5586346620 |   5514433275
    num cache misses                 |    187679695 |    119336570 |    120666377 |    128835438 |    135779082 |    123860827 |    129295577 |    139453460
    miss rate                        |        3.23% |        2.10% |        2.13% |        2.34% |        2.45% |        2.24% |        2.31% |        2.53%
    mpki                             |        10.88 |         7.05 |         7.14 |         7.94 |         8.24 |         7.55 |         7.79 |         8.54
  Cache L2                           |              |              |              |              |              |              |              |             
    num cache accesses               |    189303201 |    120169389 |    122053723 |    130386045 |    138500218 |    125721767 |    131039978 |    141936837
    num cache misses                 |     71135823 |     52090026 |     53928840 |     59408525 |     64996615 |     55929060 |     63440901 |     67039585
    miss rate                        |       37.58% |       43.35% |       44.18% |       45.56% |       46.93% |       44.49% |       48.41% |       47.23%
    mpki                             |         4.12 |         3.08 |         3.19 |         3.66 |         3.94 |         3.41 |         3.82 |         4.11
  Cache L3                           |              |              |              |              |              |              |              |             
    num cache accesses               |     72243660 |     52513453 |     54805733 |     60337080 |     66750677 |     57239768 |     64630648 |     68830702
    num cache misses                 |     21531530 |     20500377 |     20887610 |     20785473 |     23125988 |     22203212 |     22040497 |     22926552
    miss rate                        |       29.80% |       39.04% |       38.11% |       34.45% |       34.65% |       38.79% |       34.10% |       33.31%
    mpki                             |         1.25 |         1.21 |         1.24 |         1.28 |         1.40 |         1.35 |         1.33 |         1.40
DRAM summary                         |              |              |              |              |              |              |              |             
  num dram accesses                  |    132569305 |            0 |            0 |            0 |    132557657 |            0 |            0 |            0
  average dram access latency (ns)   |        56.86 |          inf |          inf |          inf |        57.71 |          inf |          inf |          inf
  average dram queueing delay        |         3.43 |         0.00 |         0.00 |         0.00 |         4.28 |         0.00 |         0.00 |         0.00
  average dram bandwidth utilization |       26.00% |        0.00% |        0.00% |        0.00% |       26.00% |        0.00% |        0.00% |        0.00%
Coherency Traffic                    |              |              |              |              |              |              |              |             
  num loads from dram                |     12464090 |     11073699 |     12295096 |     12412023 |     14853968 |     13536039 |     13376911 |     14945846
  num loads from dram cache          |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache        |          407 |          482 |          579 |          851 |          769 |          918 |          722 |          434
