                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  264009421 |  263642281 |  276558923 |  274986976 |  273859813 |  269872426 |  273736357 |  274127871
  Cycles                             |  244548540 |  244548540 |  244548540 |  244548540 |  244548540 |  244548540 |  244548540 |  244548540
  IPC                                |       1.08 |       1.08 |       1.13 |       1.12 |       1.12 |       1.10 |       1.12 |       1.12
  Time (ns)                          |   73438000 |   73438000 |   73438000 |   73438000 |   73438000 |   73438000 |   73438000 |   73438000
  Idle time (ns)                     |    1630888 |    2257826 |    2022754 |    2560433 |    2657476 |    1389436 |    1810461 |    1786931
  Idle time (%)                      |       2.2% |       3.1% |       2.8% |       3.5% |       3.6% |       1.9% |       2.5% |       2.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   44409157 |   44237731 |   48583955 |   47940070 |   47567044 |   45716964 |   47129471 |   47269602
  num incorrect                      |    1234564 |    1255709 |    1257220 |    1278060 |    1266952 |    1286940 |    1263490 |    1241556
  misprediction rate                 |      2.70% |      2.76% |      2.52% |      2.60% |      2.59% |      2.74% |      2.61% |      2.56%
  mpki                               |       4.68 |       4.76 |       4.55 |       4.65 |       4.63 |       4.77 |       4.62 |       4.53
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10533482 |   10547942 |   10303521 |   10457651 |   10597484 |   11033283 |   10899220 |   11073685
    num misses                       |        444 |         31 |         31 |         31 |         31 |         31 |         31 |         31
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   96938815 |   96926301 |   97363588 |   97496743 |   97475110 |   98364597 |   98275302 |   98338541
    num misses                       |      99263 |      99618 |      97146 |      96966 |      97133 |     100872 |      98119 |      97263
    miss rate                        |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10%
    mpki                             |       0.38 |       0.38 |       0.35 |       0.35 |       0.35 |       0.37 |       0.36 |       0.35
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      99707 |      99649 |      97177 |      96997 |      97164 |     100903 |      98150 |      97294
    num misses                       |       4653 |       4381 |       3114 |       2960 |       3857 |       3003 |       5537 |       3023
    miss rate                        |      4.67% |      4.40% |      3.20% |      3.05% |      3.97% |      2.98% |      5.64% |      3.11%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10533482 |   10547942 |   10303521 |   10457651 |   10597484 |   11033283 |   10899220 |   11073685
    num cache misses                 |      34239 |      15432 |      15397 |      14882 |      15464 |      15788 |      15770 |      14868
    miss rate                        |      0.33% |      0.15% |      0.15% |      0.14% |      0.15% |      0.14% |      0.14% |      0.13%
    mpki                             |       0.13 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   96938815 |   96926301 |   97363588 |   97496743 |   97475110 |   98364597 |   98275302 |   98338541
    num cache misses                 |   20251368 |   20365871 |   19831977 |   19898042 |   19845853 |   20383485 |   20179466 |   20117786
    miss rate                        |     20.89% |     21.01% |     20.37% |     20.41% |     20.36% |     20.72% |     20.53% |     20.46%
    mpki                             |      76.71 |      77.25 |      71.71 |      72.36 |      72.47 |      75.53 |      73.72 |      73.39
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   20331893 |   20427131 |   19893076 |   19959114 |   19907175 |   20445878 |   20240621 |   20178473
    num cache misses                 |    6262045 |    6291662 |    6137371 |    6165429 |    6151917 |    6277698 |    6238461 |    6235211
    miss rate                        |     30.80% |     30.80% |     30.85% |     30.89% |     30.90% |     30.70% |     30.82% |     30.90%
    mpki                             |      23.72 |      23.86 |      22.19 |      22.42 |      22.46 |      23.26 |      22.79 |      22.75
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    6309753 |    6337660 |    6183269 |    6211737 |    6198276 |    6324481 |    6283951 |    6281175
    num cache misses                 |      88105 |      79053 |      79337 |      77249 |      81593 |      75485 |      75336 |      82138
    miss rate                        |      1.40% |      1.25% |      1.28% |      1.24% |      1.32% |      1.19% |      1.20% |      1.31%
    mpki                             |       0.33 |       0.30 |       0.29 |       0.28 |       0.30 |       0.28 |       0.28 |       0.30
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     115994 |          0 |          0 |          0 |     115942 |          0 |          0 |          0
  average dram access latency (ns)   |  169627.95 |        inf |        inf |        inf |  169424.33 |        inf |        inf |        inf
  average dram queueing delay        |  169574.53 |       0.00 |       0.00 |       0.00 |  169370.90 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       8861 |       3956 |       3811 |       3836 |       3838 |       3928 |       3858 |       3889
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      47315 |      49493 |      50770 |      48656 |      52435 |      45664 |      46402 |      53264
