                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  189251090 |  222100224 |  217532603 |  212942828 |  204797462 |  212412341 |  217447564 |  206945451
  Cycles                             |  452890656 |  452890656 |  452890656 |  452890656 |  452890656 |  452890656 |  452890656 |  452890656
  IPC                                |       0.42 |       0.49 |       0.48 |       0.47 |       0.45 |       0.47 |       0.48 |       0.46
  Time (ns)                          |  136003200 |  136003200 |  136003200 |  136003200 |  136003200 |  136003200 |  136003200 |  136003200
  Idle time (ns)                     |    7824713 |   11152191 |   11138553 |   13165827 |    7378810 |   13754093 |   13057097 |   11077378
  Idle time (%)                      |       5.8% |       8.2% |       8.2% |       9.7% |       5.4% |      10.1% |       9.6% |       8.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   22160361 |   32094610 |   30807848 |   29497770 |   27176832 |   29354657 |   30794369 |   27793539
  num incorrect                      |      36589 |      19180 |      18915 |      18939 |      18546 |      18367 |      18356 |      18404
  misprediction rate                 |      0.16% |      0.06% |      0.06% |      0.06% |      0.07% |      0.06% |      0.06% |      0.07%
  mpki                               |       0.19 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   19379730 |   19061991 |   19041734 |   19041193 |   19038733 |   19037831 |   19037338 |   19037415
    num misses                       |        320 |         32 |         32 |         32 |         34 |         32 |         31 |         33
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   68244433 |   72030922 |   71339826 |   70681993 |   69507718 |   70593917 |   71311073 |   69811181
    num misses                       |      76572 |      75560 |      72728 |      72735 |      72963 |      72803 |      72722 |      72726
    miss rate                        |      0.11% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10%
    mpki                             |       0.40 |       0.34 |       0.33 |       0.34 |       0.36 |       0.34 |       0.33 |       0.35
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      76892 |      75592 |      72760 |      72767 |      72997 |      72835 |      72753 |      72759
    num misses                       |      49987 |      48122 |      48196 |      47915 |      48201 |      48013 |      47946 |      47955
    miss rate                        |     65.01% |     63.66% |     66.24% |     65.85% |     66.03% |     65.92% |     65.90% |     65.91%
    mpki                             |       0.26 |       0.22 |       0.22 |       0.23 |       0.24 |       0.23 |       0.22 |       0.23
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   19379730 |   19061991 |   19041734 |   19041193 |   19038733 |   19037831 |   19037338 |   19037415
    num cache misses                 |      34866 |      20931 |      21179 |      21010 |      21031 |      20921 |      21131 |      20865
    miss rate                        |      0.18% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11%
    mpki                             |       0.18 |       0.09 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   68244433 |   72030922 |   71339826 |   70681993 |   69507718 |   70593917 |   71311073 |   69811181
    num cache misses                 |    4321882 |    4263461 |    4243088 |    4244939 |    4243038 |    4243239 |    4242431 |    4241081
    miss rate                        |      6.33% |      5.92% |      5.95% |      6.01% |      6.10% |      6.01% |      5.95% |      6.08%
    mpki                             |      22.84 |      19.20 |      19.51 |      19.93 |      20.72 |      19.98 |      19.51 |      20.49
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4746106 |    4648727 |    4628520 |    4632107 |    4633619 |    4628255 |    4627831 |    4628141
    num cache misses                 |    4036947 |    3978483 |    3964181 |    3962806 |    3964027 |    3963174 |    3961385 |    3959637
    miss rate                        |     85.06% |     85.58% |     85.65% |     85.55% |     85.55% |     85.63% |     85.60% |     85.56%
    mpki                             |      21.33 |      17.91 |      18.22 |      18.61 |      19.36 |      18.66 |      18.22 |      19.13
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4428094 |    4343064 |    4328624 |    4329143 |    4333787 |    4327435 |    4325829 |    4325900
    num cache misses                 |    2324830 |    2222728 |    2233865 |    2252319 |    2277909 |    2207972 |    2213249 |    2180432
    miss rate                        |     52.50% |     51.18% |     51.61% |     52.03% |     52.56% |     51.02% |     51.16% |     50.40%
    mpki                             |      12.28 |      10.01 |      10.27 |      10.58 |      11.12 |      10.39 |      10.18 |      10.54
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   12882348 |          0 |          0 |          0 |   12877244 |          0 |          0 |          0
  average dram access latency (ns)   |   28672.22 |        inf |        inf |        inf |   28710.65 |        inf |        inf |        inf
  average dram queueing delay        |   28618.79 |       0.00 |       0.00 |       0.00 |   28657.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     79.00% |      0.00% |      0.00% |      0.00% |     79.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |    1653318 |    1620377 |    1634265 |    1644047 |    1611859 |    1621030 |    1615758 |    1626653
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      36545 |       6969 |       6534 |      18776 |      72047 |       3859 |       3863 |      11666
