                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   70403922 |   70717341 |   70145790 |   70115969 |   71663084 |   71203891 |   71720261 |   71609957
  Cycles                             |   85067514 |   85067514 |   85067514 |   85067514 |   85067514 |   85067514 |   85067514 |   85067514
  IPC                                |       0.83 |       0.83 |       0.82 |       0.82 |       0.84 |       0.84 |       0.84 |       0.84
  Time (ns)                          |   25545800 |   25545800 |   25545800 |   25545800 |   25545800 |   25545800 |   25545800 |   25545800
  Idle time (ns)                     |        157 |     417538 |     417882 |     418218 |     418464 |     418693 |     418930 |     419158
  Idle time (%)                      |       0.0% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    5735911 |    5882777 |    5748007 |    5744769 |    6174821 |    6042046 |    6220871 |    6202400
  num incorrect                      |      23469 |      37703 |      15381 |      15436 |      15835 |      26248 |       4941 |       4898
  misprediction rate                 |      0.41% |      0.64% |      0.27% |      0.27% |      0.26% |      0.43% |      0.08% |      0.08%
  mpki                               |       0.33 |       0.53 |       0.22 |       0.22 |       0.22 |       0.37 |       0.07 |       0.07
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    7896768 |    7816871 |    7794345 |    7771428 |    7757502 |    7732012 |    7706434 |    7665859
    num misses                       |        129 |         25 |         27 |         20 |         18 |         20 |         20 |         20
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   23884481 |   23610444 |   23511313 |   23495002 |   23744213 |   23654548 |   23702923 |   23681559
    num misses                       |    1290159 |    1280237 |    1282664 |    1281317 |    1280731 |    1280051 |    1283544 |    1279727
    miss rate                        |      5.40% |      5.42% |      5.46% |      5.45% |      5.39% |      5.41% |      5.42% |      5.40%
    mpki                             |      18.33 |      18.10 |      18.29 |      18.27 |      17.87 |      17.98 |      17.90 |      17.87
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1290288 |    1280262 |    1282691 |    1281337 |    1280749 |    1280071 |    1283564 |    1279747
    num misses                       |     524143 |     519275 |     520561 |     526460 |     522545 |     520976 |     522629 |     519175
    miss rate                        |     40.62% |     40.56% |     40.58% |     41.09% |     40.80% |     40.70% |     40.72% |     40.57%
    mpki                             |       7.44 |       7.34 |       7.42 |       7.51 |       7.29 |       7.32 |       7.29 |       7.25
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    7896768 |    7816871 |    7794345 |    7771428 |    7757502 |    7732012 |    7706434 |    7665859
    num cache misses                 |       5471 |       1349 |       1316 |       1267 |       1227 |       1275 |       1268 |       1323
    miss rate                        |      0.07% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   23884481 |   23610444 |   23511313 |   23495002 |   23744213 |   23654548 |   23702923 |   23681559
    num cache misses                 |    1000315 |     991049 |     987913 |     993277 |     994356 |     988168 |     988983 |     984871
    miss rate                        |      4.19% |      4.20% |      4.20% |      4.23% |      4.19% |      4.18% |      4.17% |      4.16%
    mpki                             |      14.21 |      14.01 |      14.08 |      14.17 |      13.88 |      13.88 |      13.79 |      13.75
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1006265 |     992696 |     989477 |     994837 |     995792 |     989689 |     990520 |     986520
    num cache misses                 |     459595 |     445080 |     444888 |     444094 |     444899 |     443831 |     442928 |     442520
    miss rate                        |     45.67% |     44.84% |     44.96% |     44.64% |     44.68% |     44.85% |     44.72% |     44.86%
    mpki                             |       6.53 |       6.29 |       6.34 |       6.33 |       6.21 |       6.23 |       6.18 |       6.18
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     460094 |     445378 |     445136 |     444387 |     445108 |     444077 |     443196 |     442844
    num cache misses                 |      95470 |      82351 |      83714 |      92900 |      87303 |      81994 |      83627 |      93680
    miss rate                        |     20.75% |     18.49% |     18.81% |     20.91% |     19.61% |     18.46% |     18.87% |     21.15%
    mpki                             |       1.36 |       1.16 |       1.19 |       1.32 |       1.22 |       1.15 |       1.17 |       1.31
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      73342 |          0 |          0 |          0 |      73284 |          0 |          0 |          0
  average dram access latency (ns)   |   26582.43 |        inf |        inf |        inf |   26602.64 |        inf |        inf |        inf
  average dram queueing delay        |   26529.00 |       0.00 |       0.00 |       0.00 |   26549.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       4754 |         67 |         72 |         65 |        144 |        133 |        144 |        147
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      59228 |      57560 |      59159 |      64599 |      59127 |      57036 |      58973 |      64657
