                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4243604089 |  4244338031 |  5028853007 |  5021223049 |  5058567158 |  5089934209 |  5134310109 |  5115003915
  Cycles                             |  2612887164 |  2612887164 |  2612887164 |  2612887164 |  2612887164 |  2612887164 |  2612887164 |  2612887164
  IPC                                |        1.62 |        1.62 |        1.92 |        1.92 |        1.94 |        1.95 |        1.96 |        1.96
  Time (ns)                          |   784650800 |   784650800 |   784650800 |   784650800 |   784650800 |   784650800 |   784650800 |   784650800
  Idle time (ns)                     |      441913 |      538666 |     1999929 |     1207884 |     1863368 |     1834704 |     1911872 |     1893772
  Idle time (%)                      |        0.1% |        0.1% |        0.3% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   114009692 |   115148543 |   547405582 |   545224738 |   562302282 |   571264532 |   590106308 |   584590535
  num incorrect                      |      384721 |      370372 |      321396 |      321024 |      321616 |      321398 |      321271 |      321013
  misprediction rate                 |       0.34% |       0.32% |       0.06% |       0.06% |       0.06% |       0.06% |       0.05% |       0.05%
  mpki                               |        0.09 |        0.09 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   418368257 |   417706520 |   338104764 |   338106298 |   335716614 |   335716630 |   333802296 |   333802290
    num misses                       |         527 |          40 |          40 |          40 |          33 |          33 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1828236133 |  1825968375 |  1705865123 |  1704777967 |  1703475868 |  1707956879 |  1707962670 |  1705203405
    num misses                       |    16410644 |    16979687 |    13819319 |    13020545 |    13083687 |    12972232 |    14116562 |    13910349
    miss rate                        |       0.90% |       0.93% |       0.81% |       0.76% |       0.77% |       0.76% |       0.83% |       0.82%
    mpki                             |        3.87 |        4.00 |        2.75 |        2.59 |        2.59 |        2.55 |        2.75 |        2.72
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    16411171 |    16979727 |    13819359 |    13020585 |    13083720 |    12972265 |    14116595 |    13910382
    num misses                       |      646872 |      600157 |      520846 |      491367 |      474418 |      476855 |      482881 |      480565
    miss rate                        |       3.94% |       3.53% |       3.77% |       3.77% |       3.63% |       3.68% |       3.42% |       3.45%
    mpki                             |        0.15 |        0.14 |        0.10 |        0.10 |        0.09 |        0.09 |        0.09 |        0.09
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   418368257 |   417706520 |   338104764 |   338106298 |   335716614 |   335716630 |   333802296 |   333802290
    num cache misses                 |      987314 |      748274 |      634226 |      661002 |      601564 |      674939 |      658153 |      652032
    miss rate                        |       0.24% |       0.18% |       0.19% |       0.20% |       0.18% |       0.20% |       0.20% |       0.20%
    mpki                             |        0.23 |        0.18 |        0.13 |        0.13 |        0.12 |        0.13 |        0.13 |        0.13
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1828236133 |  1825968375 |  1705865123 |  1704777967 |  1703475868 |  1707956879 |  1707962670 |  1705203405
    num cache misses                 |   126574283 |   126336488 |   103958480 |   103950713 |   102495648 |   102481148 |   100662439 |   100554225
    miss rate                        |       6.92% |       6.92% |       6.09% |       6.10% |       6.02% |       6.00% |       5.89% |       5.90%
    mpki                             |       29.83 |       29.77 |       20.67 |       20.70 |       20.26 |       20.13 |       19.61 |       19.66
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |   129986542 |   128642582 |   105838295 |   106461899 |   105427076 |   104547404 |   102712238 |   103557124
    num cache misses                 |    63558818 |    63367102 |    53317801 |    53301216 |    51556717 |    51654171 |    49870425 |    50028694
    miss rate                        |      48.90% |      49.26% |      50.38% |      50.07% |      48.90% |      49.41% |      48.55% |      48.31%
    mpki                             |       14.98 |       14.93 |       10.60 |       10.62 |       10.19 |       10.15 |        9.71 |        9.78
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    65985914 |    64924922 |    54563390 |    55151400 |    53886579 |    53045487 |    51262069 |    52379560
    num cache misses                 |     2674985 |     2203276 |     1767352 |     2714632 |     3764959 |     1975460 |     1976777 |     2468221
    miss rate                        |       4.05% |       3.39% |       3.24% |       4.92% |       6.99% |       3.72% |       3.86% |       4.71%
    mpki                             |        0.63 |        0.52 |        0.35 |        0.54 |        0.74 |        0.39 |        0.39 |        0.48
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       82666 |           0 |           0 |           0 |       82616 |           0 |           0 |           0
  average dram access latency (ns)   |    58972.99 |         inf |         inf |         inf |    59005.92 |         inf |         inf |         inf
  average dram queueing delay        |    58919.56 |        0.00 |        0.00 |        0.00 |    58952.49 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        9414 |        4825 |        4761 |        4169 |        3577 |        3584 |        3544 |        3290
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |     2576505 |     2179405 |     1745192 |     2617647 |     3744181 |     1953729 |     1954388 |     2412252
