                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2778409141 |  2728174873 |  2806650866 |  2812769263 |  2787911645 |  2809366053 |  2816830892 |  2814628879
  Cycles                             |  1587331746 |  1587331746 |  1587331746 |  1587331746 |  1587331746 |  1587331746 |  1587331746 |  1587331746
  IPC                                |        1.75 |        1.72 |        1.77 |        1.77 |        1.76 |        1.77 |        1.77 |        1.77
  Time (ns)                          |   476676200 |   476676200 |   476676200 |   476676200 |   476676200 |   476676200 |   476676200 |   476676200
  Idle time (ns)                     |    14419937 |    14321838 |     9744237 |     6704083 |    10759152 |     9228435 |    11688902 |    15314161
  Idle time (%)                      |        3.0% |        3.0% |        2.0% |        1.4% |        2.3% |        1.9% |        2.5% |        3.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   233584791 |   235770090 |   264791267 |   267096142 |   258493162 |   262957721 |   263837135 |   254807979
  num incorrect                      |      868975 |      715219 |      796294 |      844561 |      788725 |      837924 |      835007 |      895175
  misprediction rate                 |       0.37% |       0.30% |       0.30% |       0.32% |       0.30% |       0.32% |       0.32% |       0.35%
  mpki                               |        0.31 |        0.26 |        0.28 |        0.30 |        0.28 |        0.30 |        0.30 |        0.32
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   321669781 |   310486007 |   306345064 |   306136060 |   307139939 |   308476659 |   308906559 |   314003587
    num misses                       |         566 |          70 |          70 |          70 |          70 |          65 |          65 |          65
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1349483858 |  1310877080 |  1310486630 |  1310321043 |  1309647379 |  1314931322 |  1318577972 |  1333144054
    num misses                       |      740167 |      727247 |      714741 |      775960 |      937306 |      782611 |      901769 |      935837
    miss rate                        |       0.05% |       0.06% |       0.05% |       0.06% |       0.07% |       0.06% |       0.07% |       0.07%
    mpki                             |        0.27 |        0.27 |        0.25 |        0.28 |        0.34 |        0.28 |        0.32 |        0.33
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      740733 |      727317 |      714811 |      776030 |      937376 |      782676 |      901834 |      935902
    num misses                       |      173472 |      127516 |      140750 |      148220 |      170409 |      164982 |      161681 |      164370
    miss rate                        |      23.42% |      17.53% |      19.69% |      19.10% |      18.18% |      21.08% |      17.93% |      17.56%
    mpki                             |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.06 |        0.06 |        0.06
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   321669781 |   310486007 |   306345064 |   306136060 |   307139939 |   308476659 |   308906559 |   314003587
    num cache misses                 |     1021118 |      670322 |      636027 |      637880 |      659480 |      646772 |      658712 |      663170
    miss rate                        |       0.32% |       0.22% |       0.21% |       0.21% |       0.21% |       0.21% |       0.21% |       0.21%
    mpki                             |        0.37 |        0.25 |        0.23 |        0.23 |        0.24 |        0.23 |        0.23 |        0.24
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1349483858 |  1310877080 |  1310486630 |  1310321043 |  1309647379 |  1314931322 |  1318577972 |  1333144054
    num cache misses                 |    38266658 |    37453084 |    37079768 |    37094470 |    37152853 |    37170393 |    37162758 |    37416897
    miss rate                        |       2.84% |       2.86% |       2.83% |       2.83% |       2.84% |       2.83% |       2.82% |       2.81%
    mpki                             |       13.77 |       13.73 |       13.21 |       13.19 |       13.33 |       13.23 |       13.19 |       13.29
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    39925194 |    38609955 |    38271034 |    38413369 |    38728133 |    38328548 |    38291760 |    38360956
    num cache misses                 |    27886930 |    27393027 |    26973692 |    26952903 |    26899086 |    26870360 |    26724434 |    26765878
    miss rate                        |      69.85% |      70.95% |      70.48% |      70.17% |      69.46% |      70.11% |      69.79% |      69.77%
    mpki                             |       10.04 |       10.04 |        9.61 |        9.58 |        9.65 |        9.56 |        9.49 |        9.51
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    28670910 |    27883895 |    27532846 |    27641062 |    27820453 |    27386384 |    27198675 |    27050384
    num cache misses                 |      486595 |      694113 |      737500 |     1255748 |     1398760 |      899645 |      798570 |      534208
    miss rate                        |       1.70% |       2.49% |       2.68% |       4.54% |       5.03% |       3.29% |       2.94% |       1.97%
    mpki                             |        0.18 |        0.25 |        0.26 |        0.45 |        0.50 |        0.32 |        0.28 |        0.19
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       83311 |           0 |           0 |           0 |       83279 |           0 |           0 |           0
  average dram access latency (ns)   |    14344.70 |         inf |         inf |         inf |    14354.38 |         inf |         inf |         inf
  average dram queueing delay        |    14291.27 |        0.00 |        0.00 |        0.00 |    14300.95 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6751 |        2186 |        2022 |        1700 |        1934 |        2036 |        2023 |        2861
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      284193 |      478392 |      508604 |      909294 |      982503 |      621258 |      567886 |      385793
