                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  193449207 |  201923544 |  197663962 |  193049571 |  196028268 |  196143080 |  201255090 |  204590355
  Cycles                             |  122736807 |  122736807 |  122736807 |  122736807 |  122736807 |  122736807 |  122736807 |  122736807
  IPC                                |       1.58 |       1.65 |       1.61 |       1.57 |       1.60 |       1.60 |       1.64 |       1.67
  Time (ns)                          |   36857900 |   36857900 |   36857900 |   36857900 |   36857900 |   36857900 |   36857900 |   36857900
  Idle time (ns)                     |     160745 |    1396420 |    2802772 |    1354876 |    2572599 |    2518298 |    5722936 |    3381519
  Idle time (%)                      |       0.4% |       3.8% |       7.6% |       3.7% |       7.0% |       6.8% |      15.5% |       9.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   14847320 |   17439892 |   16222856 |   14904451 |   15755701 |   15788494 |   17249073 |   18202021
  num incorrect                      |      37509 |      21266 |      21275 |      21274 |      21256 |      21271 |      21266 |      21260
  misprediction rate                 |      0.25% |      0.12% |      0.13% |      0.14% |      0.13% |      0.13% |      0.12% |      0.12%
  mpki                               |       0.19 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   20441746 |   20290421 |   20290421 |   20290425 |   20290264 |   20290262 |   20290266 |   20290262
    num misses                       |        404 |         27 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   61906012 |   62594396 |   61985898 |   61326718 |   61751906 |   61768301 |   62498586 |   62975040
    num misses                       |      46561 |      45962 |      44461 |      45312 |      45555 |      47604 |      46594 |      45902
    miss rate                        |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.08% |      0.07% |      0.07%
    mpki                             |       0.24 |       0.23 |       0.22 |       0.23 |       0.23 |       0.24 |       0.23 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      46965 |      45989 |      44488 |      45339 |      45582 |      47631 |      46621 |      45929
    num misses                       |      12418 |      11331 |      11298 |      11360 |      11400 |      11450 |      11456 |      11397
    miss rate                        |     26.44% |     24.64% |     25.40% |     25.06% |     25.01% |     24.04% |     24.57% |     24.81%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20441746 |   20290421 |   20290421 |   20290425 |   20290264 |   20290262 |   20290266 |   20290262
    num cache misses                 |      25526 |      12805 |      12848 |      12814 |      12880 |      12806 |      12834 |      12790
    miss rate                        |      0.12% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.13 |       0.06 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   61906012 |   62594396 |   61985898 |   61326718 |   61751906 |   61768301 |   62498586 |   62975040
    num cache misses                 |    6621434 |    6592451 |    6592353 |    6594735 |    6593085 |    6593311 |    6592043 |    6592269
    miss rate                        |     10.70% |     10.53% |     10.64% |     10.75% |     10.68% |     10.67% |     10.55% |     10.47%
    mpki                             |      34.23 |      32.65 |      33.35 |      34.16 |      33.63 |      33.61 |      32.75 |      32.22
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    6740054 |    6697475 |    6699441 |    6701824 |    6702395 |    6704196 |    6702185 |    6701830
    num cache misses                 |     919843 |     898321 |     900388 |     900832 |     899085 |     900661 |     898183 |     895587
    miss rate                        |     13.65% |     13.41% |     13.44% |     13.44% |     13.41% |     13.43% |     13.40% |     13.36%
    mpki                             |       4.75 |       4.45 |       4.56 |       4.67 |       4.59 |       4.59 |       4.46 |       4.38
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1146694 |    1126326 |    1126784 |    1125319 |    1130122 |    1130816 |    1121789 |    1109096
    num cache misses                 |     461456 |     442575 |     441142 |     440346 |     442221 |     445764 |     423623 |     415916
    miss rate                        |     40.24% |     39.29% |     39.15% |     39.13% |     39.13% |     39.42% |     37.76% |     37.50%
    mpki                             |       2.39 |       2.19 |       2.23 |       2.28 |       2.26 |       2.27 |       2.10 |       2.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    2411685 |          0 |          0 |          0 |    2409654 |          0 |          0 |          0
  average dram access latency (ns)   |   61319.87 |        inf |        inf |        inf |   58479.56 |        inf |        inf |        inf
  average dram queueing delay        |   61266.44 |       0.00 |       0.00 |       0.00 |   58426.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     55.00% |      0.00% |      0.00% |      0.00% |     55.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     223707 |     213368 |     202631 |     219901 |     218946 |     219706 |     192949 |     180140
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      89340 |      94568 |      95704 |      77466 |      91814 |      91515 |      99546 |     101768
