                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4519488244 |  4456347027 |  4367743171 |  4313863238 |  4158577339 |  4074847003 |  3999652662 |  3744647092
  Cycles                             |  2388267342 |  2388267342 |  2388267342 |  2388267342 |  2388267342 |  2388267342 |  2388267342 |  2388267342
  IPC                                |        1.89 |        1.87 |        1.83 |        1.81 |        1.74 |        1.71 |        1.67 |        1.57
  Time (ns)                          |   717197400 |   717197400 |   717197400 |   717197400 |   717197400 |   717197400 |   717197400 |   717197400
  Idle time (ns)                     |      733482 |      811502 |     1198104 |      817840 |      691501 |     1151269 |      828713 |      702073
  Idle time (%)                      |        0.1% |        0.1% |        0.2% |        0.1% |        0.1% |        0.2% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   252298700 |   235973957 |   209745013 |   193189697 |   147647401 |   122845888 |   100526736 |   271830200
  num incorrect                      |      163546 |      145998 |      150227 |      159376 |      154518 |      160168 |      162808 |      175928
  misprediction rate                 |       0.06% |       0.06% |       0.07% |       0.08% |       0.10% |       0.13% |       0.16% |       0.06%
  mpki                               |        0.04 |        0.03 |        0.03 |        0.04 |        0.04 |        0.04 |        0.04 |        0.05
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   349600173 |   348328564 |   348328704 |   348328558 |   348329062 |   348328312 |   348328144 |   262586184
    num misses                       |         666 |          40 |          40 |          40 |          40 |          40 |          40 |          40
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1572125312 |  1561956464 |  1552044122 |  1547779249 |  1529154330 |  1519792953 |  1511567795 |  1283791460
    num misses                       |     5956436 |     5873254 |     5976001 |     6010241 |     5848946 |     5956630 |     5892446 |     4407471
    miss rate                        |       0.38% |       0.38% |       0.39% |       0.39% |       0.38% |       0.39% |       0.39% |       0.34%
    mpki                             |        1.32 |        1.32 |        1.37 |        1.39 |        1.41 |        1.46 |        1.47 |        1.18
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     5957102 |     5873294 |     5976041 |     6010281 |     5848986 |     5956670 |     5892486 |     4407511
    num misses                       |      978925 |      773213 |      907371 |      847437 |      895382 |      865268 |      940492 |      614194
    miss rate                        |      16.43% |      13.16% |      15.18% |      14.10% |      15.31% |      14.53% |      15.96% |      13.94%
    mpki                             |        0.22 |        0.17 |        0.21 |        0.20 |        0.22 |        0.21 |        0.24 |        0.16
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   349600173 |   348328564 |   348328704 |   348328558 |   348329062 |   348328312 |   348328144 |   262586184
    num cache misses                 |      663742 |      591098 |      575491 |      596550 |      584659 |      609041 |      608090 |      455442
    miss rate                        |       0.19% |       0.17% |       0.17% |       0.17% |       0.17% |       0.17% |       0.17% |       0.17%
    mpki                             |        0.15 |        0.13 |        0.13 |        0.14 |        0.14 |        0.15 |        0.15 |        0.12
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1572125312 |  1561956464 |  1552044122 |  1547779249 |  1529154330 |  1519792953 |  1511567795 |  1283791460
    num cache misses                 |    83676222 |    83054281 |    82866790 |    83075921 |    82880440 |    83047872 |    82878547 |    62550129
    miss rate                        |       5.32% |       5.32% |       5.34% |       5.37% |       5.42% |       5.46% |       5.48% |       4.87%
    mpki                             |       18.51 |       18.64 |       18.97 |       19.26 |       19.93 |       20.38 |       20.72 |       16.70
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    86970463 |    86287619 |    86077884 |    86306216 |    86184733 |    86357727 |    86183566 |    65036962
    num cache misses                 |    19904574 |    18967768 |    18936468 |    19078107 |    19162788 |    19176185 |    19284946 |    13821050
    miss rate                        |      22.89% |      21.98% |      22.00% |      22.11% |      22.23% |      22.21% |      22.38% |      21.25%
    mpki                             |        4.40 |        4.26 |        4.34 |        4.42 |        4.61 |        4.71 |        4.82 |        3.69
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    22535983 |    21629933 |    21617904 |    21733236 |    21887169 |    21883556 |    21996525 |    16028011
    num cache misses                 |     3610777 |     3355770 |     3342653 |     3036404 |     4008935 |     3481981 |     3474646 |     2672649
    miss rate                        |      16.02% |      15.51% |      15.46% |      13.97% |      18.32% |      15.91% |      15.80% |      16.67%
    mpki                             |        0.80 |        0.75 |        0.77 |        0.70 |        0.96 |        0.85 |        0.87 |        0.71
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       57019 |           0 |           0 |           0 |       56954 |           0 |           0 |           0
  average dram access latency (ns)   |    19267.19 |         inf |         inf |         inf |    19289.26 |         inf |         inf |         inf
  average dram queueing delay        |    19213.76 |        0.00 |        0.00 |        0.00 |    19235.83 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6042 |        1131 |        1131 |        1125 |        1170 |        1165 |        1169 |        1039
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |     3578654 |     3340896 |     3327532 |     3020391 |     3993330 |     3466060 |     3458562 |     2655576
