                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2433249599 |  2435275513 |  2438214591 |  2440853656 |  2448169256 |  2436993797 |  2660341645 |  2662601437
  Cycles                             |   936828567 |   936828567 |   936828567 |   936828567 |   936828567 |   936828567 |   936828567 |   936828567
  IPC                                |        2.60 |        2.60 |        2.60 |        2.61 |        2.61 |        2.60 |        2.84 |        2.84
  Time (ns)                          |   281329900 |   281329900 |   281329900 |   281329900 |   281329900 |   281329900 |   281329900 |   281329900
  Idle time (ns)                     |        1540 |      683650 |      508517 |      509415 |      685118 |      685782 |      734063 |      735293
  Idle time (%)                      |        0.0% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.3% |        0.3%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    14897276 |    15856995 |    18003386 |    18758280 |    20847229 |    17655104 |   305421876 |   306067553
  num incorrect                      |       50916 |       30810 |       31967 |       31631 |       32680 |       31046 |       27855 |       27830
  misprediction rate                 |       0.34% |       0.19% |       0.18% |       0.17% |       0.16% |       0.18% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   230437589 |   230141743 |   229736401 |   229735921 |   229735998 |   229736280 |   153923757 |   153923757
    num misses                       |         655 |          43 |          43 |          43 |          43 |          43 |          36 |          36
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1099487301 |  1098846951 |  1097929195 |  1098296890 |  1099342235 |  1097754988 |   882231712 |   882553530
    num misses                       |     1400207 |     1382942 |     1470561 |     1406829 |     1400413 |     1409537 |      936386 |      945641
    miss rate                        |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.11% |       0.11%
    mpki                             |        0.58 |        0.57 |        0.60 |        0.58 |        0.57 |        0.58 |        0.35 |        0.36
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1400862 |     1382985 |     1470604 |     1406872 |     1400456 |     1409580 |      936422 |      945677
    num misses                       |       35225 |       33496 |       36497 |       31464 |       30872 |       36017 |       24179 |       23801
    miss rate                        |       2.51% |       2.42% |       2.48% |       2.24% |       2.20% |       2.56% |       2.58% |       2.52%
    mpki                             |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   230437589 |   230141743 |   229736401 |   229735921 |   229735998 |   229736280 |   153923757 |   153923757
    num cache misses                 |      311255 |      235617 |      235534 |      242259 |      256947 |      237199 |      219978 |      214072
    miss rate                        |       0.14% |       0.10% |       0.10% |       0.11% |       0.11% |       0.10% |       0.14% |       0.14%
    mpki                             |        0.13 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.08 |        0.08
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1099487301 |  1098846951 |  1097929195 |  1098296890 |  1099342235 |  1097754988 |   882231712 |   882553530
    num cache misses                 |    15852297 |    15748703 |    15512912 |    15300750 |    15314904 |    15447771 |    10853711 |    10872337
    miss rate                        |       1.44% |       1.43% |       1.41% |       1.39% |       1.39% |       1.41% |       1.23% |       1.23%
    mpki                             |        6.51 |        6.47 |        6.36 |        6.27 |        6.26 |        6.34 |        4.08 |        4.08
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    16458967 |    16218762 |    15991507 |    15917712 |    15917588 |    15978809 |    11289098 |    11360836
    num cache misses                 |     4274260 |     4099631 |     3972643 |     3799286 |     3869192 |     3966493 |     2827852 |     2890679
    miss rate                        |      25.97% |      25.28% |      24.84% |      23.87% |      24.31% |      24.82% |      25.05% |      25.44%
    mpki                             |        1.76 |        1.68 |        1.63 |        1.56 |        1.58 |        1.63 |        1.06 |        1.09
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4604241 |     4366600 |     4249568 |     4201441 |     4265975 |     4303317 |     3122274 |     3265696
    num cache misses                 |      426434 |      319275 |      319101 |      702954 |      560984 |      385427 |      259181 |      369936
    miss rate                        |       9.26% |       7.31% |       7.51% |      16.73% |      13.15% |       8.96% |       8.30% |      11.33%
    mpki                             |        0.18 |        0.13 |        0.13 |        0.29 |        0.23 |        0.16 |        0.10 |        0.14
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       26819 |           0 |           0 |           0 |       26760 |           0 |           0 |           0
  average dram access latency (ns)   |    16939.63 |         inf |         inf |         inf |    16972.61 |         inf |         inf |         inf
  average dram queueing delay        |    16886.20 |        0.00 |        0.00 |        0.00 |    16919.18 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        5227 |         358 |         377 |         380 |         140 |         370 |         331 |          95
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      395293 |      312932 |      312787 |      696230 |      542494 |      377790 |      252494 |      355308
