                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  720968298 |  721694180 |  721735703 |  719430314 |  721243839 |  719818358 |  719646962 |  717960483
  Cycles                             |  835965864 |  835965864 |  835965864 |  835965864 |  835965864 |  835965864 |  835965864 |  835965864
  IPC                                |       0.86 |       0.86 |       0.86 |       0.86 |       0.86 |       0.86 |       0.86 |       0.86
  Time (ns)                          |  251040800 |  251040800 |  251040800 |  251040800 |  251040800 |  251040800 |  251040800 |  251040800
  Idle time (ns)                     |        609 |     762469 |     722939 |     732558 |     772324 |     920344 |     940515 |     961783
  Idle time (%)                      |       0.0% |       0.3% |       0.3% |       0.3% |       0.3% |       0.4% |       0.4% |       0.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   48569766 |   49024231 |   49027398 |   48370895 |   48835604 |   48541936 |   48440422 |   47915877
  num incorrect                      |    5799525 |    5784141 |    5784493 |    5782143 |    5785405 |    5788590 |    5783168 |    5782745
  misprediction rate                 |     10.67% |     10.55% |     10.55% |     10.68% |     10.59% |     10.65% |     10.67% |     10.77%
  mpki                               |       8.04 |       8.01 |       8.01 |       8.04 |       8.02 |       8.04 |       8.04 |       8.05
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   87049727 |   86668116 |   86678038 |   86670568 |   86697343 |   86643521 |   86674291 |   86690592
    num misses                       |        375 |         25 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  210534770 |  209921351 |  209945410 |  209604864 |  209919908 |  209608075 |  209646483 |  209431708
    num misses                       |      38141 |      34166 |      34149 |      34126 |      34148 |      34147 |      34159 |      34146
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      38516 |      34191 |      34167 |      34144 |      34166 |      34165 |      34177 |      34164
    num misses                       |       3601 |        785 |        736 |        787 |        806 |        740 |        864 |        806
    miss rate                        |      9.35% |      2.30% |      2.15% |      2.30% |      2.36% |      2.17% |      2.53% |      2.36%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   87049727 |   86668116 |   86678038 |   86670568 |   86697343 |   86643521 |   86674291 |   86690592
    num cache misses                 |      22961 |      13758 |      13689 |      13723 |      13779 |      13925 |      13823 |      13703
    miss rate                        |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  210534770 |  209921351 |  209945410 |  209604864 |  209919908 |  209608075 |  209646483 |  209431708
    num cache misses                 |    2343805 |    2201164 |    2201319 |    2201181 |    2200330 |    2199459 |    2201110 |    2201249
    miss rate                        |      1.11% |      1.05% |      1.05% |      1.05% |      1.05% |      1.05% |      1.05% |      1.05%
    mpki                             |       3.25 |       3.05 |       3.05 |       3.06 |       3.05 |       3.06 |       3.06 |       3.07
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2367024 |    2214922 |    2215009 |    2214906 |    2214116 |    2213389 |    2214938 |    2214958
    num cache misses                 |    2339101 |    2194103 |    2193761 |    2193940 |    2193115 |    2192299 |    2194005 |    2193950
    miss rate                        |     98.82% |     99.06% |     99.04% |     99.05% |     99.05% |     99.05% |     99.05% |     99.05%
    mpki                             |       3.24 |       3.04 |       3.04 |       3.05 |       3.04 |       3.05 |       3.05 |       3.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2339821 |    2194103 |    2193762 |    2193942 |    2193122 |    2192304 |    2194010 |    2193956
    num cache misses                 |     149019 |        142 |        102 |         83 |      16537 |      16504 |      16554 |      16531
    miss rate                        |      6.37% |      0.01% |      0.00% |      0.00% |      0.75% |      0.75% |      0.75% |      0.75%
    mpki                             |       0.21 |       0.00 |       0.00 |       0.00 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      78608 |          0 |          0 |          0 |      78500 |          0 |          0 |          0
  average dram access latency (ns)   |   61967.92 |        inf |        inf |        inf |   62188.76 |        inf |        inf |        inf
  average dram queueing delay        |   61914.49 |       0.00 |       0.00 |       0.00 |   62135.33 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       4834 |         40 |         40 |         29 |         26 |         34 |         33 |         27
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         39 |         37 |         36 |         24 |         62 |         49 |         71 |         64
